[Header]
; AC Transport Data File (default extension .dat)
; Copyright 1998, Quantum Design, Inc. All rights reserved.
TITLE,AC Transport Datafile
FILEOPENTIME,19082565.45,08/10/2022,8:45 am
BYAPP,ACTRANSPORT,2.0,1.1
INFO,PPMS AC Transport Option Release 2.2.5. Build 2,APPNAME
INFO,Cernox-1050,SAMPLE1_MATERIAL
INFO,SN-X180867,SAMPLE1_COMMENT
INFO,1,SAMPLE1_LEAD_SEPARATION
INFO,1,SAMPLE1_CROSS_SECTION
INFO,,SAMPLE2_MATERIAL
INFO,,SAMPLE2_COMMENT
INFO,1,SAMPLE2_LEAD_SEPARATION
INFO,1,SAMPLE2_CROSS_SECTION
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ACResist,2,4,5,6,7,8,9,10,13,14,15,16,53
FIELDGROUP,ACHall,2,4,5,6,7,8,9,10,17,18,19,20,53
FIELDGROUP,ACIVcurve,2,4,5,6,7,8,9,10,53
FIELDGROUP,ACCritCurrent,2,4,5,6,7,8,9,21,22,23,24,53
STARTUPGROUP,All
STARTUPAXIS,X,2
STARTUPAXIS,Y1,3
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Excitation (mA),Frequency (Hz),Volts ch1,Volts ch2,V Std.Dev. ch1,V Std.Dev. ch2,Res. ch1 (ohm-cm),Res. ch2 (ohm-cm),Res. Std.Dev. ch1,Res. Std.Dev. ch2,Hall ch1 (cm^3/coul),Hall ch2 (cm^3/coul),Hall Std.Dev. ch1,Hall Std.Dev. ch2,Crit.Cur. ch1 (mA),Crit.Cur. ch2 (mA),C.Cur. Std.Dev. ch1,C.Cur. Std.Dev. ch2,ACT Status (code),ACT Gain,2nd Harm. ch1 (dB),2nd Harm. ch2 (dB),3rd Harm. ch1 (dB),3rd Harm. ch2 (dB),Quad.Error ch1 (ohm-cm-rad),Quad.Error ch2 (ohm-cm-rad),Drive Signal ch1 (V),Drive Signal ch2 (V),Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,19083705.795,4370,350.00955,0,0,0.0102198995029309,17,0.000570455729242511,,3.03709786234352E-7,,56.2579010944816,,0.0299515788237834,,,,,,,,,,0,5000,-75.3924300888781,,-73.4608503503067,,0.000167901441520811,,0.000570456576460367,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083725.85,4370,349.80105,0,0,0.0102198995029309,17,0.000570468202338818,,3.04477019207855E-7,,56.2591408730757,,0.0300272490568832,,,,,,,,,,0,5000,-75.87403020338,,-73.1822917724017,,0.000165530104811579,,0.000570469025776513,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083738.29,4374,349.4025,0,0,0.0102198995029309,17,0.000570554192191657,,3.04184889126513E-7,,56.2676879508185,,0.0299984750449928,,,,,,,,,,0,5000,-75.1528550102055,,-73.6354686697547,,0.000165618198373549,,0.000570555016381802,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083750.805,4374,349.0981,0,0,0.0102198995029309,17,0.000570762980178896,,3.01812563393554E-7,,56.2884407997293,,0.0297646041124677,,,,,,,,,,0,5000,-75.7587250645958,,-72.8468774921801,,0.000165406659686151,,0.000570763801964242,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083763.58,4374,348.81875,0,0,0.0102198995029309,17,0.00057102328186873,,2.99156988130497E-7,,56.3143141112613,,0.0295028186420884,,,,,,,,,,0,5000,-75.455496651151,,-73.9028614424756,,0.000165539171587125,,0.000571024104596102,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083777.815,4374,348.4858,0,0,0.0102198995029309,17,0.000571339133037546,,3.00194424235763E-7,,56.3457091464682,,0.0296052593132645,,,,,,,,,,0,5000,-75.5901291669302,,-74.0092552915388,,0.0001661581699544,,0.00057133996147101,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083789.335,4374,348.05995,0,0,0.0102198995029309,17,0.00057166918056831,,2.9731545203917E-7,,56.3785155670415,,0.0293214681096027,,,,,,,,,,0,5000,-76.0225505231262,,-73.6633103278242,,0.000165873800944017,,0.000571670005691931,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083801.18,4374,347.35255,0,0,0.0102198995029309,17,0.000572065266735631,,3.00550828309393E-7,,56.4178865621062,,0.0296407057142523,,,,,,,,,,0,5000,-76.4740042217588,,-73.3320995185711,,0.000165454987340588,,0.0005720660871294,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083814.935,4374,345.98375,0,0,0.0102198995029309,17,0.000572716713728573,,3.05027146108061E-7,,56.4826413794539,,0.0300824359353192,,,,,,,,,,0,5000,-75.3065197747279,,-73.1023732932354,,0.000166803339454709,,0.000572717546599741,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083828.155,4374,344.29185,0,0,0.0102198995029309,17,0.000573753862245105,,3.00032184884298E-7,,56.5857379165586,,0.0295902465759679,,,,,,,,,,0,5000,-75.5795447217998,,-73.1634956636995,,0.000165859307867174,,0.000573754684227061,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083840.98,4374,342.36215,0,0,0.0102198995029309,17,0.000575152776990041,,3.06364576946745E-7,,56.7248000819403,,0.0302153535776858,,,,,,,,,,0,5000,-75.9413746081481,,-73.3410578305601,,0.000166145188750026,,0.00057515359980187,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083852.83,4370,340.3696,0,0,0.0102198995029309,17,0.000576770088502516,,3.04908220682931E-7,,56.8855791512921,,0.0300723907935216,,,,,,,,,,0,5000,-74.9230690170739,,-73.4854344101846,,0.000167978503067584,,0.000576770927214576,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083865.56,4374,338.55435,0,0,0.0102198995029309,17,0.00057889120369775,,3.02769114029567E-7,,57.0964528972489,,0.0298622903443279,,,,,,,,,,0,5000,-75.1851943001459,,-73.9857219595297,,0.000168989356472117,,0.000578892049424284,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083878.17,4374,337.8342,0,0,0.0102198995029309,17,0.000580975017673527,,3.03232897726908E-7,,57.303630321043,,0.0299088950273622,,,,,,,,,,0,5000,-75.5633920627139,,-73.2334567081841,,0.000168490393934599,,0.000580975855397686,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083890.87,4370,337.44685,0,0,0.0102198995029309,17,0.000582709212376624,,3.06608857002046E-7,,57.4760569117272,,0.0302426021279977,,,,,,,,,,0,5000,-75.8898172741407,,-73.1373625377528,,0.000168453384812941,,0.000582710047240766,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083903.175,4370,336.54225,0,0,0.0102198995029309,17,0.000584207411112242,,3.05892662534504E-7,,57.6250256718973,,0.0301725841324466,,,,,,,,,,0,5000,-75.1088611413988,,-73.9084953413127,,0.000168933427264907,,0.000584208248588169,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083916.155,4370,335.11805,0,0,0.0102198995029309,17,0.000585762809005415,,3.09016579238832E-7,,57.77968837721,,0.030481374515819,,,,,,,,,,0,5000,-75.3960748187439,,-73.3766874646477,,0.000171022080842553,,0.000585763665038954,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083928.18,4370,333.9346,0,0,0.0102198995029309,17,0.000587319266778097,,3.12131273315029E-7,,57.9344631259499,,0.0307892701844334,,,,,,,,,,0,5000,-75.3520869118419,,-73.2693571686676,,0.000170592701455322,,0.000587320116261408,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083942.81,4370,332.88465,0,0,0.0102198995029309,17,0.000589296100667576,,3.08402712268092E-7,,58.131049829618,,0.0304223085925946,,,,,,,,,,0,5000,-75.2421724734487,,-74.2844307120567,,0.000170098463377617,,0.000589296942402647,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083955.96,4370,331.9804,0,0,0.0102198995029309,17,0.000590932756996502,,3.12052265748193E-7,,58.2938156219017,,0.0307830133204653,,,,,,,,,,0,5000,-75.0779844942942,,-73.1210579505016,,0.000171652899245843,,0.000590933611812078,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083968.835,4370,331.48585,0,0,0.0102198995029309,17,0.000592408794521092,,3.07282018731948E-7,,58.4406141550708,,0.0303130605901709,,,,,,,,,,0,5000,-75.8425379900144,,-73.8061913628969,,0.000172855759911124,,0.000592409659199107,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083980.4,4374,330.8425,0,0,0.0102198995029309,17,0.000593512694880217,,3.07485162626428E-7,,58.5504058959572,,0.030333563377156,,,,,,,,,,0,5000,-76.001361542602,,-73.7482200077812,,0.000172702130476974,,0.000593513556416519,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19083993.165,4374,329.36965,0,0,0.0102198995029309,17,0.000594802217416623,,3.13096962273826E-7,,58.6786634914485,,0.0308877207450982,,,,,,,,,,0,5000,-75.5954887962758,,-73.3955953061465,,0.000172526856068952,,0.000594803075341071,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084005.685,4370,327.81825,0,0,0.0102198995029309,17,0.000596291326025935,,3.10496749194787E-7,,58.8267778641879,,0.0306318334580077,,,,,,,,,,0,5000,-75.4074027349438,,-73.6985632104248,,0.000174122004549906,,0.000596292197705825,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084018.405,4370,326.6901,0,0,0.0102198995029309,17,0.000597959111659035,,3.13426443425504E-7,,58.9926716046544,,0.0309215731909473,,,,,,,,,,0,5000,-76.3748200572285,,-73.4938018187964,,0.000173909135577874,,0.000597959978783639,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084030.3,4370,325.8957,0,0,0.0102198995029309,17,0.000599514042896939,,3.15177356299912E-7,,59.1473466659635,,0.031094980962494,,,,,,,,,,0,5000,-75.1153017150743,,-73.0896880765185,,0.000172970279342803,,0.0005995148984596,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084043.495,4370,324.9715,0,0,0.0102198995029309,17,0.000601131498832039,,3.18054165855266E-7,,59.3082483546103,,0.0313795044278705,,,,,,,,,,0,5000,-76.0453249826533,,-73.5757172793197,,0.000173468722076249,,0.000601132357017361,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084055.475,4370,324.159,0,0,0.0102198995029309,17,0.000602510599225382,,3.21792520468545E-7,,59.4454445308734,,0.0317489381211318,,,,,,,,,,0,5000,-74.8240551954736,,-73.3436722339978,,0.000175087504459924,,0.000602511471501173,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084068.755,4374,323.221,0,0,0.0102198995029309,17,0.000604047271350083,,3.15032547695485E-7,,59.5983224754485,,0.0310826409373513,,,,,,,,,,0,5000,-76.4447522472324,,-73.8788991558393,,0.000174697300942418,,0.000604048137533115,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084081.985,4374,322.04935,0,0,0.0102198995029309,17,0.00060550814425604,,3.24886373807292E-7,,59.7436654499849,,0.0320555138318782,,,,,,,,,,0,5000,-74.7059968899891,,-72.8641683133836,,0.000176059143801499,,0.000605509021873767,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084094.775,4370,320.5478,0,0,0.0102198995029309,17,0.000607093916250939,,3.22287739563891E-7,,59.9014413390597,,0.0317998118715699,,,,,,,,,,0,5000,-74.8718306590017,,-73.6138030897424,,0.000175949842063917,,0.000607094790489762,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084236.575,4370,320.08465,0,0,0.0102198995029309,17,0.000613840640191427,,3.19020364224697E-7,,60.5727818244012,,0.0314803577805821,,,,,,,,,,0,5000,-75.3268414234585,,-74.0632425998851,,0.000178285304567977,,0.000613841527927079,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084259.06,4370,319.75325,0,0,0.0102198995029309,17,0.000613962369342081,,3.17996615673273E-7,,60.5848957725322,,0.0313793885243664,,,,,,,,,,0,5000,-76.1021017920176,,-73.5479877455932,,0.000179047293043036,,0.000613963264504762,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084270.925,4370,318.97545,0,0,0.0102198995029309,17,0.00061505105249599,,3.21781149781287E-7,,60.6932385301238,,0.0317533190139204,,,,,,,,,,0,5000,-76.9294160165647,,-73.6310040760543,,0.000177221731090129,,0.000615051927945277,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084283.125,4370,317.8167,0,0,0.0102198995029309,17,0.000616191592493882,,3.19860650596194E-7,,60.8067454351371,,0.0315643020021368,,,,,,,,,,0,5000,-77.6074053716786,,-74.140308687326,,0.000177404973447414,,0.000616192468130721,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084295.02,4370,316.82465,0,0,0.0102198995029309,17,0.00061584950411086,,3.24656210916052E-7,,60.7727003142948,,0.0320373815243579,,,,,,,,,,0,5000,-76.0236780230229,,-73.7016071996855,,0.000180592453816919,,0.000615850411999959,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084307.08,4370,315.8812,0,0,0.0102198995029309,17,0.000616733881611109,,3.24117831187511E-7,,60.8607154764737,,0.0319846453108069,,,,,,,,,,0,5000,-76.1102887892407,,-73.191140401091,,0.000179509883060617,,0.000616734777361743,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084318.82,4370,314.9245,0,0,0.0102198995029309,17,0.000617855735125958,,3.2672548531774E-7,,60.972367861013,,0.0322424749973668,,,,,,,,,,0,5000,-75.4024235726859,,-73.4483254899436,,0.000178134117645119,,0.000617856615597537,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084329.815,4370,313.84715,0,0,0.0102198995029309,17,0.000619051287489805,,3.20213076783067E-7,,61.091358928637,,0.0316003280854402,,,,,,,,,,0,5000,-75.9154554653568,,-73.7281412505649,,0.000179576564415887,,0.000619052180550328,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084342.225,4370,312.2896,0,0,0.0102198995029309,17,0.000620640659027244,,3.27977242560396E-7,,61.2495521629352,,0.03236724915843,,,,,,,,,,0,5000,-75.9217825252924,,-73.1581525159435,,0.000178157052709132,,0.000620641535773719,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084353.27,4374,311.0652,0,0,0.0102198995029309,17,0.000622215422211685,,3.28098501054689E-7,,61.406298253877,,0.0323799180282206,,,,,,,,,,0,5000,-75.0998661733026,,-73.7417501440986,,0.000183512953690557,,0.000622216350111044,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084366.16,4374,310.228,0,0,0.0102198995029309,17,0.000624259575856441,,3.25189187521586E-7,,61.6097759085978,,0.0320937072630375,,,,,,,,,,0,5000,-75.628738289062,,-73.9282599260367,,0.000181039329529807,,0.000624260475952497,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084378.55,4370,309.58585,0,0,0.0102198995029309,17,0.000625975430918044,,3.24842932851347E-7,,61.7805831809003,,0.0320602944272513,,,,,,,,,,0,5000,-75.2153287902374,,-73.9177400130449,,0.00018240572876233,,0.000625976342147738,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084391.365,4370,308.69715,0,0,0.0102198995029309,17,0.000627611553708975,,3.31689740271051E-7,,61.9434609349567,,0.0327367784104509,,,,,,,,,,0,5000,-75.2570096124622,,-73.6536056260952,,0.000183488983297451,,0.000627612473390072,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084402.185,4370,307.735,0,0,0.0102198995029309,17,0.000628977531140403,,3.26931149701212E-7,,62.0794510755359,,0.0322677291114948,,,,,,,,,,0,5000,-75.9469217226863,,-73.6235236285929,,0.000183827367313456,,0.000628978452212031,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084413.76,4370,306.6608,0,0,0.0102198995029309,17,0.000630538607584817,,3.33275841127735E-7,,62.2348706229905,,0.0328946535299481,,,,,,,,,,0,5000,-75.5814823039413,,-73.8897442183728,,0.000182598509589222,,0.000630539514133185,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084426.025,4370,305.6386,0,0,0.0102198995029309,17,0.000632249367025419,,3.3243108130748E-7,,62.405200195199,,0.0328120496132665,,,,,,,,,,0,5000,-76.2309311410913,,-73.3213744421896,,0.000185396457672911,,0.0006322502990399,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084437.625,4370,304.78475,0,0,0.0102198995029309,17,0.000633872185540528,,3.30952313798632E-7,,62.5667814871922,,0.0326668228926719,,,,,,,,,,0,5000,-75.236125800292,,-73.7260185370644,,0.000186341760122738,,0.000633873124673069,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084448.54,4370,303.91865,0,0,0.0102198995029309,17,0.00063524941466639,,3.31101858139738E-7,,62.7039155463114,,0.0326822063640685,,,,,,,,,,0,5000,-75.6198162606186,,-73.2710866797957,,0.000185917987187374,,0.000635250347505498,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084459.995,4370,302.8962,0,0,0.0102198995029309,17,0.00063723664917442,,3.34054479824054E-7,,62.9017985303618,,0.0329745580750336,,,,,,,,,,0,5000,-75.6419384750703,,-73.775238530269,,0.00018600371053464,,0.0006372375799622,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084471.195,4370,301.8462,0,0,0.0102198995029309,17,0.000638608397367644,,3.28917368363441E-7,,63.038399535025,,0.0324680880673466,,,,,,,,,,0,5000,-75.9427289467162,,-74.3195818375196,,0.000187962974234319,,0.00063860934582583,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084484.25,4370,300.7755,0,0,0.0102198995029309,17,0.00064047612995746,,3.29968666305038E-7,,63.2243998340065,,0.032572705479058,,,,,,,,,,0,5000,-76.1691164569746,,-73.7179646428285,,0.00018716783882714,,0.00064047706766564,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084496.43,4370,299.80445,0,0,0.0102198995029309,17,0.000643326833560163,,3.33597351698161E-7,,63.5083089510388,,0.0329322090837713,,,,,,,,,,0,5000,-76.7399897507024,,-73.8889159420204,,0.000184534314211337,,0.000643327741027113,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084507.775,4370,298.88025,0,0,0.0102198995029309,17,0.000643967556834513,,3.34134501017885E-7,,63.5721233579085,,0.0329855259981087,,,,,,,,,,0,5000,-75.4969451659312,,-73.5992894969085,,0.000188277465946815,,0.000643968500549609,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084518.98,4370,297.8933,0,0,0.0102198995029309,17,0.000645548118775741,,3.3216423455481E-7,,63.7295481375711,,0.0327917402609143,,,,,,,,,,0,5000,-75.5193440271659,,-73.7688050958965,,0.000186649721450083,,0.000645549043972879,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084530.4,4370,296.93205,0,0,0.0102198995029309,17,0.000647295111413336,,3.36685352960893E-7,,63.9035575049575,,0.0332388730957437,,,,,,,,,,0,5000,-75.7820897852273,,-73.6505818806588,,0.000189909851575991,,0.000647296066627736,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084542.845,4370,295.88585,0,0,0.0102198995029309,17,0.000649414612959601,,3.38058025530823E-7,,64.1146819432946,,0.0333753680020949,,,,,,,,,,0,5000,-75.8963961319803,,-73.508224168168,,0.000187852500492077,,0.000649415544539507,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084554.185,4370,294.95715,0,0,0.0102198995029309,17,0.000650885298185256,,3.37010304185102E-7,,64.2611847876163,,0.0332726058530307,,,,,,,,,,0,5000,-75.9151057442935,,-74.0945187004941,,0.000189438667766732,,0.000650886243422889,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084565.165,4370,294.043,0,0,0.0102198995029309,17,0.000652605796399924,,3.41496786917785E-7,,64.4325804060414,,0.0337163528786902,,,,,,,,,,0,5000,-76.2131738158167,,-73.4302954036373,,0.000189657390058786,,0.00065260674132379,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084576.065,4370,293.12475,0,0,0.0102198995029309,17,0.000654261620165591,,3.43473029032781E-7,,64.5975408721227,,0.0339122452502109,,,,,,,,,,0,5000,-74.8866938122065,,-74.2362024106162,,0.000191273842027043,,0.000654262578832903,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084587.98,4370,292.1113,0,0,0.0102198995029309,17,0.000656112383611246,,3.40676536103398E-7,,64.7819310289014,,0.0336369999064486,,,,,,,,,,0,5000,-75.4795404211095,,-73.4310828951077,,0.000189850255840437,,0.000656113325397498,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084600.42,4370,291.0968,0,0,0.0102198995029309,17,0.000660142644432617,,3.36189753178851E-7,,65.1834955082528,,0.0331958436508219,,,,,,,,,,0,5000,-78.3702517628026,,-74.6548174467347,,0.000190405162134057,,0.00066014358594895,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084612.86,4370,290.0538,0,0,0.0102198995029309,17,0.00066002592781338,,3.40800184875418E-7,,65.1718655450995,,0.0336510289765772,,,,,,,,,,0,5000,-75.6997303986703,,-73.7177404433947,,0.000191948264715156,,0.000660026884821425,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084624.845,4370,289.05025,0,0,0.0102198995029309,17,0.000664671345659208,,3.3477911699501E-7,,65.6347766732417,,0.0330586244311371,,,,,,,,,,0,5000,-80.6799002461339,,-74.4586481744377,,0.000194305302451609,,0.000664672319460956,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084636.59,4370,288.00725,0,0,0.0102198995029309,17,0.000663755832239317,,3.45135347391915E-7,,65.5435419934311,,0.0340808463793396,,,,,,,,,,0,5000,-75.6267764621873,,-74.1165281307785,,0.000192394280136912,,0.000663756788297162,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084647.93,4370,286.95125,0,0,0.0102198995029309,17,0.000665650082182868,,3.45851139033057E-7,,65.7323143505379,,0.0341524235807737,,,,,,,,,,0,5000,-74.9270660562089,,-73.4414515088603,,0.000191408922188582,,0.000665651025779924,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084659.01,4370,286.0113,0,0,0.0102198995029309,17,0.000667538867487985,,3.49218130656368E-7,,65.9205519741876,,0.0344858098493791,,,,,,,,,,0,5000,-75.9272424986387,,-73.7677322581598,,0.000194429957286468,,0.000667539838351114,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084670.885,4370,285.13375,0,0,0.0102198995029309,17,0.000669523322867159,,3.49432921779277E-7,,66.1183347362316,,0.0345079690853118,,,,,,,,,,0,5000,-76.5732102105817,,-73.5583079931977,,0.000192556715625956,,0.000669524272290361,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084683.57,4370,284.16015,0,0,0.0102198995029309,17,0.000671633259998135,,3.4980252417702E-7,,66.3286356725639,,0.0345454752939276,,,,,,,,,,0,5000,-76.6006999775644,,-74.0350040476742,,0.000196342906105294,,0.000671634244023824,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084695.715,4370,283.11165,0,0,0.0102198995029309,17,0.00067343991357281,,3.45689383629558E-7,,66.5087175877206,,0.0341401264215053,,,,,,,,,,0,5000,-75.7521886987975,,-73.6313133958361,,0.000197212949388336,,0.000673440903675417,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084707.345,4370,282.09585,0,0,0.0102198995029309,17,0.000675551886738371,,3.51989266766794E-7,,66.7192442714512,,0.0347633155325505,,,,,,,,,,0,5000,-75.4278878413477,,-73.8553013881677,,0.000197676250603379,,0.000675552878388515,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084719.43,4370,281.1332,0,0,0.0102198995029309,17,0.000677626655359492,,3.54669534180746E-7,,66.9260742911836,,0.0350290309183827,,,,,,,,,,0,5000,-75.3198811356477,,-73.4738901417505,,0.000197394936311492,,0.000677627641161589,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084730.895,4370,280.2132,0,0,0.0102198995029309,17,0.000679567427936812,,3.52629592520108E-7,,67.1195572278346,,0.034828489895259,,,,,,,,,,0,5000,-76.2256822975444,,-73.7440904631287,,0.000199066814790372,,0.000679568427645302,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084742.96,4370,279.2227,0,0,0.0102198995029309,17,0.000681630585166793,,3.48441883944192E-7,,67.3252525434494,,0.0344158616130517,,,,,,,,,,0,5000,-75.925934203366,,-73.9992243563823,,0.00019802307478746,,0.00068163157142524,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084754.84,4370,278.2903,0,0,0.0102198995029309,17,0.000683649518242623,,3.52754851387351E-7,,67.5265501080116,,0.0348428291719211,,,,,,,,,,0,5000,-75.3901504707585,,-74.172497445892,,0.00019948541844722,,0.000683650516165554,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084767.005,4370,277.23425,0,0,0.0102198995029309,17,0.000685749193217629,,3.52633136797621E-7,,67.7359099644473,,0.034831818288187,,,,,,,,,,0,5000,-76.4759945855801,,-74.2559998757035,,0.000200811190213108,,0.000685750201352682,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084779.05,4370,276.2025,0,0,0.0102198995029309,17,0.00068781699629064,,3.59541935950029E-7,,67.942103740808,,0.0355152613810385,,,,,,,,,,0,5000,-75.420424701117,,-73.4511313779749,,0.000199142945490107,,0.000687817984764428,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084791.705,4370,275.15975,0,0,0.0102198995029309,17,0.000690072702214066,,3.57474208352221E-7,,68.1670479569638,,0.0353121133125105,,,,,,,,,,0,5000,-76.2490023489571,,-73.7974955638262,,0.000202713241040011,,0.000690073723100858,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084804.085,4370,274.1477,0,0,0.0102198995029309,17,0.000692261404627139,,3.54235776216345E-7,,68.3853238478534,,0.0349932731390764,,,,,,,,,,0,5000,-75.7265470781698,,-73.5044327749079,,0.000203418072251565,,0.000692262429375299,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084816.925,4370,273.07645,0,0,0.0102198995029309,17,0.000696604826616422,,3.57067731292876E-7,,68.8185257201145,,0.0352751497977765,,,,,,,,,,0,5000,-77.9157364112788,,-74.2439448819414,,0.000201478700961689,,0.000696605825649833,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084828.39,4370,272.11105,0,0,0.0102198995029309,17,0.000696588881735175,,3.64993456808021E-7,,68.816935322963,,0.0360581320624365,,,,,,,,,,0,5000,-75.9068049495354,,-73.5215127294899,,0.00020479463989265,,0.000696589913947001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084841.735,4370,270.956,0,0,0.0102198995029309,17,0.000699020871790224,,3.57684000657277E-7,,69.059518462163,,0.0353372120817678,,,,,,,,,,0,5000,-76.2677300464652,,-73.828048077609,,0.000203954530031394,,0.000699021891988936,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084854.08,4370,269.95995,0,0,0.0102198995029309,17,0.000701288252561277,,3.66533888817279E-7,,69.2856970631537,,0.036212667487852,,,,,,,,,,0,5000,-75.9122700325054,,-74.0909479105899,,0.000206311856035534,,0.000701289293104214,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19084867.085,4370,268.8781,0,0,0.0102198995029309,17,0.000702142447908206,,3.71854853016727E-7,,69.370909505395,,0.036738806717857,,,,,,,,,,0,5000,-76.1153251357743,,-72.8218730463125,,0.000193755504456086,,0.000702143364531956,,,,,,,,,,,,,,,,,,,,,,,,,,,
